0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2014:10:21:17 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
